X,Y,fid,OBJECTID,CIMMYTMA,Geography,coll_collNumb,B_,B__seeds,ddPCR,acceName,geo_latitude,geo_longitude,geo_elevation,Adaptation_Zone,icon_url
-102.85,21.18333333,"169","169",584,Mexico,JALI 73,0,0,,MAIZ COLORADO,21.18333333,-102.85,1794,"Temperate, dry winter, hot summer     ",./1.png
-97.382222,20.43027778,"170","170",681,Mexico,VERA 75,0,0,,LAKSOKUGE DENTADO CHICO,20.43027778,-97.382222,109,"Tropical, rainforest",./1.png
-97.81666667,20.91666667,"171","171",709,Mexico,VERA 163,0,0,,AMARILLO,20.91666667,-97.81666667,80,"Tropical, savannah",./1.png
-92.1137679999999,16.2543600000001,"172","172",772,Mexico,CHIS 85,0,0,,,16.25436,-92.113768,1564,"Tropical, savannah",./1.png
-91.9433079999999,16.328624,"173","173",773,Mexico,CHIS 124,0,0,,,16.328624,-91.943308,1494,"Temperate, dry winter, warm summer    ",./1.png
-91.925394,16.3376730000001,"174","174",775,Mexico,CHIS 138,0,0,,,16.337673,-91.925394,1519,"Temperate, dry winter, warm summer    ",./1.png
-92.1608659999999,15.46182,"175","175",779,Mexico,CHIS 191,0,0,,CUARENTENO,15.46182,-92.160866,2435,"Temperate, dry winter, warm summer    ",./1.png
-85.572218,11.5347100000001,"176","176",865,Nicaragua,NICA 91,0,0,,,11.53471,-85.572218,82,"Tropical, savannah",./1.png
-86.643766,14.6346100000001,"177","177",868,Honduras,HOND 109,0,0,,,14.63461,-86.643766,629,,./1.png
-85.9333789999999,14.7945580000001,"178","178",869,Honduras,HOND 113,0,0,,,14.794558,-85.933379,347,,./1.png
-87.891039,15.5905060000001,"179","179",879,Honduras,HOND 63,0,0,,,15.590506,-87.891039,16,,./1.png
-89.8303969999999,13.630908,"180","180",917,El Salvador,SALV 53,0,0,,,13.630908,-89.830397,28,,./1.png
-86.0998269999999,11.8989580000001,"181","181",931,Nicaragua,NICA 76,0,0,,,11.898958,-86.099827,459,"Tropical, savannah",./1.png
-85.567549,10.4720620000001,"182","182",961,Costa Rica,CRIC 229,0,0,,MAICENA TUZA MORADA,10.472062,-85.567549,20,"Tropical, savannah",./1.png
-85.481812,10.7307660000001,"183","183",967,Costa Rica,CRIC 253,0,0,,TUZA MORADA,10.730766,-85.481812,96,"Tropical, monsoon",./1.png
-82.9077589999999,8.82033600000005,"184","184",970,Costa Rica,CRIC 308,0,0,,BLANCO,8.820336,-82.907759,914,"Tropical, rainforest",./1.png
-80.692968,8.17682700000006,"185","185",983,Panama,PANA 56,0,0,,CALILLO,8.176827,-80.692968,54,"Tropical, savannah",./1.png
-83.304159,9.18801700000006,"186","186",1031,Costa Rica,CRIC GP25,0,0,,,9.188017,-83.304159,517,"Tropical, monsoon",./1.png
-98.229432,21.409744,"187","187",1057,Mexico,VERA 212,0,0,,CRIOLLO AMARILLO,21.409744,-98.229432,135,"Tropical, savannah",./1.png
-90.93333,14.283333,"188","188",1080,Guatemala,GUAT 85,0,0,,,14.283333,-90.93333,251,,./1.png
-90.766667,14.283333,"189","189",1090,Guatemala,GUAT 87,0,0,,,14.283333,-90.766667,284,,./1.png
-89.7166666699999,14.333333,"190","190",1159,Guatemala,GUAT GP6-2A,0,0,,GUAT GP6-2A,14.333333,-89.71666667,483,"Tropical, savannah",./1.png
-89.66667,15.4,"191","191",1194,Guatemala,GUAT GP30-2A,0,0,,GUAT GP30-2A,15.4,-89.66667,175,"Tropical, monsoon",./1.png
-90.8,14.65,"192","192",1207,Guatemala,GUAT 588,0,0,,BLANCO OBISPO,14.65,-90.8,1764,"Temperate, dry winter, warm summer    ",./1.png
-91.940209,14.954256,"193","193",1210,Guatemala,GUAT 174,0,0,,AMARILLO,14.954256,-91.940209,982,"Tropical, monsoon",./1.png
-91.735517,14.592564,"194","194",1217,Guatemala,GUAT 69,0,0,,CHIMBO AMARILLO,14.592564,-91.735517,380,"Tropical, monsoon",./1.png
-89.7166666699999,14.65,"195","195",1218,Guatemala,GUAT 349,0,0,,,14.65,-89.71666667,781,"Tropical, savannah",./1.png
-90.254673,15.1051670000001,"196","196",1221,Guatemala,GUAT 600,0,0,,AMARILLO,15.105167,-90.254673,1067,"Temperate, no dry season, warm summer ",./1.png
-90.193023,16.6814910000001,"197","197",1223,Guatemala,GUAT 459,0,0,,YEMA DE ORO,16.681491,-90.193023,151,"Tropical, monsoon",./1.png
-60.910209,14.0066820000001,"198","198",1342,St. Lucia,SLUC 2,0,0,,MAIZE,14.006682,-60.910209,184,"Tropical, rainforest",./1.png
-98.5699999999999,18.51,"199","199",1436,Mexico,PUEB 223,0,0,,DELGADO BLANCO,18.51,-98.57,1120,"Tropical, savannah",./1.png
-97.58333333,19.9,"200","200",1445,Mexico,PUEB 122,0,0,,ARROCILLO,19.9,-97.58333333,1668,"Temperate, dry winter, warm summer    ",./1.png
-98.4833333299999,19.0666666700001,"201","201",1446,Mexico,PUEB 81,0,0,,AZUL,19.06666667,-98.48333333,2437,"Temperate, dry winter, warm summer    ",./1.png
-101.5319,19.6566330000001,"202","202",1480,Mexico,MICH 23,0,0,,ROJO DE TEMPORAL,19.656633,-101.5319,2059,"Temperate, dry winter, warm summer    ",./1.png
-99.8365449999999,21.6354420000001,"203","203",1675,Mexico,SNLP 57,0,0,,MAIZ DELGADO,21.635442,-99.836545,932,"Arid, steppe, hot                     ",./1.png
-83.9095129999999,9.94362900000004,"204","204",1705,Costa Rica,CRIC 361,0,0,,HOLANCHO,9.943629,-83.909513,2363,"Tropical, rainforest",./1.png
-80.531579,8.32723800000002,"205","205",1709,Panama,PANA 67,0,0,,CALILLO BLANCO,8.327238,-80.531579,13,"Tropical, savannah",./1.png
-79.1,9.16666667000004,"206","206",1715,Panama,PANA 144,0,0,,AMARILLO,9.16666667,-79.1,18,"Tropical, monsoon",./1.png
-81.66691,8.24846600000006,"207","207",1717,Panama,PANA 161,0,0,,MAICENA,8.248466,-81.66691,360,"Tropical, monsoon",./1.png
-101.03832,20.198115,"208","208",1728,Mexico,GUAN 85,0,0,,MAIZ DE SAN LUIS,20.198115,-101.03832,1738,"Temperate, dry winter, hot summer     ",./1.png
-103.5333333,19.41666667,"209","209",1734,Mexico,JALI 163,0,0,,REVENTADOR AHUMADO,19.41666667,-103.5333333,1226,"Tropical, savannah",./1.png
-103.497012,19.716303,"210","210",1741,Mexico,JALI 232,0,0,,,19.716303,-103.497012,1517,"Temperate, dry winter, warm summer    ",./1.png
-95.199492,18.434292,"211","211",1745,Mexico,PUEB 69,0,0,,BLANCO ENANO,18.434292,-95.199492,271,"Tropical, savannah",./1.png
-100.933333,28.5000000000001,"212","212",1754,Mexico,COAH 15,0,0,,MAIZ TARDIO,28.5,-100.933333,362,"Arid, steppe, hot                     ",./1.png
-95.199492,18.434292,"213","213",1761,Mexico,VERA 123,0,0,,ENANO,18.434292,-95.199492,271,"Tropical, savannah",./1.png
-97.714849,20.706377,"214","214",1765,Mexico,VERA 3,0,0,,CRIOLLO BLANCO,20.706377,-97.714849,129,"Tropical, savannah",./1.png
-93.1765589999999,16.7823680000001,"215","215",1770,Mexico,CHIS 56,0,0,,,16.782368,-93.176559,633,"Tropical, savannah",./1.png
-92.2066667,15.6433333000001,"216","216",1771,Mexico,CHIS 19,0,0,,AMERICA,15.6433333,-92.2066667,1514,"Tropical, savannah",./1.png
-89.4999999999999,14.6666670000001,"217","217",1806,Guatemala,GUAT 338,0,0,,NEGRO,14.666667,-89.5,534,"Tropical, savannah",./1.png
-89.90304,14.483437,"218","218",1816,Guatemala,GUAT 226,0,0,,BLANCO,14.483437,-89.90304,993,"Tropical, savannah",./1.png
-89.55,14.7833333300001,"219","219",1820,Guatemala,GUAT 347,0,0,,REDONDO,14.78333333,-89.55,429,"Tropical, savannah",./1.png
-90.3047759999999,14.2822120000001,"220","220",1829,Guatemala,GUAT 570,0,0,,BLANCO,14.282212,-90.304776,921,"Tropical, savannah",./1.png
-90.4360799999999,14.3489010000001,"221","221",1854,Guatemala,GUAT 611,0,0,,AMARILLO,14.348901,-90.43608,1020,"Tropical, savannah",./1.png
-90.33333333,15.4666666700001,"222","222",1859,Guatemala,GUAT 684,0,0,,AMARILLO,15.46666667,-90.33333333,1322,"Temperate, no dry season, warm summer ",./1.png
-102.1666667,19.9,"223","223",1903,Mexico,MICH 15,0,0,,DULCE HUACHACATA,19.9,-102.1666667,1704,"Temperate, dry winter, warm summer    ",./1.png
-101.298194,19.562841,"224","224",1905,Mexico,MICH 126,0,0,,MEXICANO,19.562841,-101.298194,2014,"Temperate, dry winter, warm summer    ",./1.png
-90.7407039999999,18.572773,"225","225",2118,Mexico,CAMP 99,0,0,,C-D,18.572773,-90.740704,95,"Tropical, savannah",./1.png
-102.1833333,25.45,"226","226",2124,Mexico,COAH 16,0,0,,MAIZ DE DELICIAS,25.45,-102.1833333,1514,"Arid, desert, hot                     ",./1.png
-102.75,25.3333333300001,"227","227",2128,Mexico,COAH 44,0,0,,MAIZ CUATRO MESES,25.33333333,-102.75,1092,"Arid, desert, hot                     ",./1.png
-92.38333333,16.2833333300001,"228","228",2158,Mexico,CHIS 98,0,0,,POINTED,16.28333333,-92.38333333,977,"Tropical, savannah",./1.png
-92.0278279999999,15.6272530000001,"229","229",2159,Mexico,CHIS 157,0,0,,TEHUA,15.627253,-92.027828,729,"Tropical, savannah",./1.png
-93.1,16.61666667,"230","230",2163,Mexico,CHIS 165,0,0,,ELOTILLO,16.61666667,-93.1,440,"Tropical, savannah",./1.png
-105.2031,27.0847010000001,"231","231",2178,Mexico,CHIH 70,0,0,,CAIRO,27.084701,-105.2031,1489,"Arid, steppe, hot                     ",./1.png
-99.612037,18.553235,"232","232",2193,Mexico,GUER 12,0,0,,LARGO,18.553235,-99.612037,1852,"Temperate, dry winter, warm summer    ",./1.png
-104.037373,20.2022860000001,"233","233",2199,Mexico,JALI 28,0,0,,PEPITILLA,20.202286,-104.037373,1185,"Temperate, dry winter, warm summer    ",./1.png
-104.2666667,19.9666666700001,"234","234",2202,Mexico,JALI 33,0,0,,BLANCO CRIOLLO,19.96666667,-104.2666667,1355,"Tropical, savannah",./1.png
-103.8,20.3800000000001,"235","235",2205,Mexico,JALI 37,0,0,,CHINO,20.38,-103.8,1318,"Temperate, dry winter, hot summer     ",./1.png
-103.4166667,19.65,"236","236",2217,Mexico,JALI 103,0,0,,MAIZ DE OCHO,19.65,-103.4166667,1298,"Temperate, dry winter, warm summer    ",./1.png
-104.421565,20.215291,"237","237",2224,Mexico,JALI 221,0,0,,MAIZ AMARILLO,20.215291,-104.421565,1792,"Temperate, dry winter, warm summer    ",./1.png
-104.1666667,20.2333333300001,"238","238",2228,Mexico,JALI 246,0,0,,TABLONCILLO,20.23333333,-104.1666667,1580,"Temperate, dry winter, warm summer    ",./1.png
-103.25,19.9666666700001,"239","239",2229,Mexico,JALI 251,0,0,,,19.96666667,-103.25,2127,"Temperate, dry winter, warm summer    ",./1.png
-102.3,20.3333333300001,"240","240",2236,Mexico,MICH 63,0,0,,PEPITILLA,20.33333333,-102.3,1546,"Temperate, dry winter, hot summer     ",./1.png
-104.579736,21.083082,"241","241",2247,Mexico,NAYA 7,0,0,,TABLONCILLO,21.083082,-104.579736,862,"Tropical, savannah",./1.png
-95.9305556,18.1002777800001,"242","242",2265,Mexico,OAXA 3,0,0,,CATALAN BLANCO,18.10027778,-95.9305556,22,"Tropical, savannah",./1.png
-98.9861759999999,21.4017170000001,"243","243",2294,Mexico,SNLP 97,0,0,,AMARILLO,21.401717,-98.986176,740,"Tropical, monsoon",./1.png
-111.497682,28.5771040000001,"244","244",2306,Mexico,SONO 1,0,0,,,28.577104,-111.497682,26,"Arid, desert, hot                     ",./1.png
-99.10357,23.7116740000001,"245","245",2315,Mexico,TAMA 4,0,0,,MAIZ EL CARMEN,23.711674,-99.10357,316,"Arid, steppe, hot                     ",./1.png
-97.0976459999999,20.4800010000001,"246","246",2323,Mexico,VERA 10,0,0,,MAIZ BLANCO,20.480001,-97.097646,22,"Tropical, rainforest",./1.png
-96.7666666699999,18.5000000000001,"247","247",2330,Mexico,VERA 52,0,0,,,18.5,-96.76666667,121,"Tropical, monsoon",./1.png
-97.382222,20.43027778,"248","248",2334,Mexico,VERA 71,0,0,,MAIZ ITKON DENTADO,20.43027778,-97.382222,109,"Tropical, rainforest",./1.png
-96.86666667,18.7666666700001,"249","249",2339,Mexico,VERA 93,0,0,,AMARILLO,18.76666667,-96.86666667,552,"Tropical, monsoon",./1.png
-95.807048,18.3872220000001,"250","250",2346,Mexico,VERA 124,0,0,,,18.387222,-95.807048,7,"Tropical, savannah",./1.png
-89.5166666699999,20.38333333,"251","251",2348,Mexico,YUCA 25,0,0,,XNUC-NAL,20.38333333,-89.51666667,29,"Tropical, savannah",./1.png
-100.453733,26.1762170000001,"252","252",2355,Mexico,NVOL 17,0,0,,MEZQUITALENO,26.176217,-100.453733,595,"Arid, steppe, hot                     ",./1.png
-89.31613,19.8415130000001,"253","253",2356,Mexico,YUCA 137,0,0,,XMEHENAL,19.841513,-89.31613,72,"Tropical, savannah",./1.png
-76.43333333,20.38333333,"254","254",2374,Cuba,CUBA 110,0,0,,,20.38333333,-76.43333333,107,"Tropical, savannah",./1.png
-76.8941379999999,20.333221,"255","255",2377,Cuba,CUBA 113,0,0,,,20.333221,-76.894138,25,"Tropical, savannah",./1.png
-76.927588,21.0028520000001,"256","256",2381,Cuba,CUBA 117,0,0,,,21.002852,-76.927588,95,"Tropical, savannah",./1.png
-79.7166666699999,22.45,"257","257",2421,Cuba,CUBA 159,0,0,,,22.45,-79.71666667,82,"Tropical, savannah",./1.png
-83.733333,22.4166670000001,"258","258",2438,Cuba,CUBA 11,0,0,,,22.416667,-83.733333,79,,./1.png
-80.221755,22.5905480000001,"259","259",2446,Cuba,CUBA 69,0,0,,CRIOLLO,22.590548,-80.221755,47,"Tropical, savannah",./1.png
-59.457417,13.1487910000001,"260","260",2455,Barbados,BARB 10,0,0,,INDIAN CORN,13.148791,-59.457417,52,,./1.png
-89.366433,14.6120720000001,"261","261",2499,Guatemala,GUAT 269,0,0,,,14.612072,-89.366433,1261,,./1.png
-100.69796,18.3005910000001,"262","262",2533,Mexico,GUER 178,0,0,,,18.300591,-100.69796,265,"Tropical, savannah",./1.png
-98.984003,21.383876,"263","263",2538,Mexico,SNLP 16,0,0,,BLANCO,21.383876,-98.984003,580,"Tropical, monsoon",./1.png
-97.067537,18.8508830000001,"264","264",2551,Mexico,VERA 114,0,0,,BLANCO,18.850883,-97.067537,1147,"Temperate, dry winter, warm summer    ",./1.png
-89.31613,19.8415130000001,"265","265",2561,Mexico,YUCA 130,0,0,,SAK-TUX,19.841513,-89.31613,72,"Tropical, savannah",./1.png
13.5199480000001,47.5624720000001,"266","266",2571,Austria,AUST 14,0,0,,,47.562472,13.519948,750,"Cold, no dry season, warm summer      ",./1.png
13.5199480000001,47.5624720000001,"267","267",2573,Austria,AUST 16,0,0,,,47.562472,13.519948,750,"Cold, no dry season, warm summer      ",./1.png
